"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2010","8.0500","8.0000","8.0500","8.0000","","0.00%"
"12/31/2009","8.0500","8.0000","8.0500","8.0000","","0.00%"
"12/30/2009","8.0500","7.9900","8.0800","7.9900","","0.12%"
"12/29/2009","8.0400","7.9670","8.0700","7.9600","","0.29%"
"12/28/2009","8.0170","7.9610","8.0200","7.9600","","0.05%"
"12/25/2009","8.0130","7.9630","8.0130","7.9630","","0.00%"
"12/24/2009","8.0130","7.9610","8.0140","7.9600","","0.02%"
"12/23/2009","8.0110","7.9650","8.0180","7.9600","","-0.05%"
"12/22/2009","8.0150","7.9680","8.0190","7.9650","","-0.04%"
"12/21/2009","8.0180","7.9700","8.0200","7.9500","","-0.02%"
"12/18/2009","8.0200","7.9720","8.0220","7.9680","","-0.02%"
"12/17/2009","8.0220","7.9700","8.0220","7.9650","","0.02%"
"12/16/2009","8.0200","7.9700","8.0300","7.9600","","0.00%"
"12/15/2009","8.0200","7.9850","8.0350","7.9600","","-0.19%"
"12/14/2009","8.0350","7.9800","8.0370","7.9700","","0.06%"
"12/11/2009","8.0300","7.9870","8.0400","7.9600","","-0.09%"
"12/10/2009","8.0370","8.0100","8.0650","7.9850","","-0.29%"
"12/09/2009","8.0600","7.9950","8.0620","7.9900","","0.19%"
"12/08/2009","8.0450","7.9910","8.0450","7.9830","","0.04%"
"12/07/2009","8.0420","7.9970","8.0470","7.8250","","-0.06%"
"12/04/2009","8.0470","7.9800","8.0500","7.9800","","0.21%"
"12/03/2009","8.0300","7.9960","8.0460","7.9800","","-0.20%"
"12/02/2009","8.0460","8.0100","8.0600","7.9800","","-0.17%"
"12/01/2009","8.0600","7.9800","8.2200","7.9700","","0.37%"
"11/30/2009","8.0300","8.0000","8.0500","7.9600","","-0.25%"
"11/27/2009","8.0500","8.0000","8.0900","7.9500","","0.00%"
"11/26/2009","8.0500","8.0000","8.1700","7.9400","","0.00%"
"11/25/2009","8.0500","8.0350","8.0850","8.0000","","-0.43%"
"11/24/2009","8.0850","8.1000","8.1500","8.0350","","-0.80%"
"11/23/2009","8.1500","8.1000","8.1500","8.0600","","0.00%"
"11/20/2009","8.1500","8.1450","8.1950","8.0830","","-0.55%"
"11/19/2009","8.1950","8.1200","8.2000","8.1200","","0.31%"
"11/18/2009","8.1700","8.1700","8.2200","8.0950","","0.12%"
"11/17/2009","8.1600","8.1000","8.1700","8.0500","","0.12%"
"11/16/2009","8.1500","8.1200","8.1800","8.0800","","-0.24%"
"11/13/2009","8.1700","8.1550","8.2050","8.0800","","-0.43%"
"11/12/2009","8.2050","8.1100","8.2100","8.1100","","0.55%"
"11/11/2009","8.1600","8.1350","8.1850","8.1100","","-0.31%"
"11/10/2009","8.1850","8.1760","8.2400","8.1350","","-0.50%"
"11/09/2009","8.2260","8.1300","8.2600","7.5400","","0.56%"
"11/06/2009","8.1800","8.1400","8.2200","8.0900","","-0.12%"
"11/05/2009","8.1900","8.2250","8.2750","8.1200","","-1.03%"
"11/04/2009","8.2750","8.2400","8.3300","8.2200","","-0.18%"
"11/03/2009","8.2900","8.1700","8.3000","8.1200","","0.85%"
"11/02/2009","8.2200","8.0950","8.2400","8.0850","","0.92%"
"10/30/2009","8.1450","8.1700","8.2200","8.0500","","-0.91%"
"10/29/2009","8.2200","8.1700","8.2200","8.1200","","0.00%"
"10/28/2009","8.2200","8.1400","8.3000","8.1200","","0.37%"
"10/27/2009","8.1900","8.1530","8.2210","8.0700","","-0.16%"
"10/26/2009","8.2030","8.1600","8.2100","8.1100","","-0.09%"
"10/23/2009","8.2100","8.2000","8.2500","8.1100","","-0.48%"
"10/22/2009","8.2500","8.2100","8.2800","8.1800","","-0.12%"
"10/21/2009","8.2600","8.2300","8.2900","8.1800","","-0.24%"
"10/20/2009","8.2800","8.1650","8.3000","8.1600","","0.79%"
"10/19/2009","8.2150","8.0750","8.2200","8.0600","","1.11%"
"10/16/2009","8.1250","8.1000","8.1500","8.0200","","-0.31%"
"10/15/2009","8.1500","8.1850","8.2350","8.1000","","-1.03%"
"10/14/2009","8.2350","8.2400","8.2900","8.1500","","-0.66%"
"10/13/2009","8.2900","8.2760","8.3300","8.1900","","-0.43%"
"10/12/2009","8.3260","8.2300","8.3700","8.2300","","0.56%"
"10/09/2009","8.2800","8.3200","8.3700","8.2300","","-1.08%"
"10/08/2009","8.3700","8.3800","8.4300","8.3150","","-0.18%"
"10/07/2009","8.3850","8.3000","8.3850","8.2500","","0.42%"
"10/06/2009","8.3500","8.3100","8.4250","8.2100","","-0.12%"
"10/05/2009","8.3600","8.4700","8.5200","8.3100","","-1.88%"
"10/02/2009","8.5200","8.3380","8.5300","8.3300","","1.57%"
