"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2020","23.7000","23.7000","23.7000","23.7000","","0.00%"
"12/31/2019","23.7000","23.7000","23.7000","23.7000","","0.00%"
"12/30/2019","23.7000","23.7000","23.7000","23.7000","","0.00%"
"12/27/2019","23.7000","23.5600","23.7600","23.5400","0.14K","1.33%"
"12/26/2019","23.3880","23.2595","23.3880","23.2320","0.24K","0.62%"
"12/25/2019","23.2450","23.2450","23.2450","23.2450","","0.00%"
"12/24/2019","23.2450","23.2620","23.2795","23.2225","0.26K","-0.09%"
"12/23/2019","23.2650","23.2850","23.3200","23.2475","0.22K","-0.21%"
"12/20/2019","23.3140","23.2960","23.3565","23.2774","0.23K","0.14%"
"12/19/2019","23.2812","23.3942","23.4217","23.2812","0.27K","-0.43%"
"12/18/2019","23.3825","23.4395","23.4450","23.3725","0.28K","-0.32%"
"12/17/2019","23.4575","23.4775","23.4975","23.4525","0.28K","-0.14%"
"12/16/2019","23.4900","23.5055","23.6155","23.4775","0.23K","0.06%"
"12/13/2019","23.4750","23.5195","23.5340","23.4750","0.24K","-0.35%"
"12/12/2019","23.5572","23.5527","23.6073","23.5272","0.24K","0.07%"
"12/11/2019","23.5400","23.5800","23.9400","23.5400","0.25K","-0.40%"
"12/10/2019","23.6350","23.6950","23.7250","23.6060","0.21K","-0.27%"
"12/09/2019","23.7000","23.7400","23.7400","23.6625","0.14K","-0.11%"
"12/06/2019","23.7250","23.7650","23.7650","23.6775","0.04K","-0.24%"
"12/05/2019","23.7825","23.8750","23.9350","23.7825","0.25K","-0.40%"
"12/04/2019","23.8790","23.9515","23.9565","23.8590","0.23K","-0.25%"
"12/03/2019","23.9400","23.9035","23.9525","23.9025","0.23K","-0.04%"
"12/02/2019","23.9500","23.9800","23.9900","23.9400","0.24K","-0.13%"
"11/29/2019","23.9800","23.9800","24.0001","23.9395","0.18K","-0.04%"
"11/28/2019","23.9900","24.0400","24.0700","23.9900","0.10K","-0.12%"
"11/27/2019","24.0188","23.9763","24.0312","23.9763","0.20K","0.09%"
"11/26/2019","23.9962","23.9737","24.0188","23.9638","0.17K","-0.24%"
"11/25/2019","24.0550","24.0800","24.0850","23.9850","0.19K","-0.21%"
"11/22/2019","24.1050","24.1950","24.2300","24.0950","0.24K","-0.31%"
"11/21/2019","24.1800","24.2000","24.2350","24.1600","0.18K","0.11%"
"11/20/2019","24.1525","24.1525","24.2050","24.1275","0.20K","0.01%"
"11/19/2019","24.1500","24.2300","24.2375","24.1500","0.21K","-0.25%"
"11/18/2019","24.2100","24.2100","24.2100","24.1180","0.20K","0.26%"
"11/15/2019","24.1465","24.2140","24.5290","24.1465","0.26K","-0.32%"
"11/14/2019","24.2250","24.3050","24.3050","24.2150","0.26K","-0.36%"
"11/13/2019","24.3117","24.3618","24.3618","24.2843","0.22K","-0.34%"
"11/12/2019","24.3938","24.5113","24.5113","24.3938","0.26K","-0.41%"
"11/11/2019","24.4947","24.5148","24.5348","24.4654","0.16K","-0.03%"
"11/08/2019","24.5023","24.4672","24.5323","24.4572","0.25K","0.10%"
"11/07/2019","24.4775","24.5720","24.5875","24.4775","0.30K","-0.42%"
"11/06/2019","24.5811","24.7159","24.7464","24.5759","0.26K","-0.54%"
"11/05/2019","24.7150","24.7095","24.7850","24.6895","0.25K","-0.14%"
"11/04/2019","24.7500","24.8200","24.8400","24.7395","0.28K","-0.48%"
"11/01/2019","24.8694","24.7149","24.8694","24.6249","0.25K","0.29%"
"10/31/2019","24.7975","25.0075","25.0075","24.7175","0.22K","-0.80%"
"10/30/2019","24.9975","25.0325","25.0375","24.8975","0.27K","-0.27%"
"10/29/2019","25.0650","25.1300","25.1900","25.0500","0.28K","-0.18%"
"10/28/2019","25.1112","25.0712","25.1612","25.0113","0.29K","0.12%"
"10/25/2019","25.0800","25.2350","25.2700","25.0660","0.31K","-0.27%"
"10/24/2019","25.1475","25.0675","25.1750","25.0275","0.27K","0.48%"
"10/23/2019","25.0274","24.8251","25.0274","24.8151","0.30K","0.77%"
"10/22/2019","24.8350","24.8600","24.9150","24.8101","0.32K","-0.20%"
"10/21/2019","24.8850","25.0150","25.0800","24.8800","0.38K","-0.78%"
"10/18/2019","25.0802","24.9153","25.1603","24.9153","0.25K","1.52%"
"10/17/2019","24.7050","24.7550","24.8650","24.6750","0.24K","-0.26%"
"10/16/2019","24.7700","24.7650","24.9050","24.6300","0.26K","-0.02%"
"10/15/2019","24.7750","24.5150","24.8500","24.5150","0.18K","0.51%"
"10/14/2019","24.6500","24.6500","24.6500","24.6500","","0.00%"
"10/11/2019","24.6500","24.5000","24.6650","24.4375","0.21K","0.63%"
"10/10/2019","24.4950","24.5950","24.6250","24.4725","0.20K","-0.46%"
"10/09/2019","24.6075","24.7275","24.7425","24.6075","0.26K","-0.11%"
"10/08/2019","24.6350","24.7200","24.8050","24.6350","0.23K","0.00%"
"10/07/2019","24.6350","24.7750","24.9495","24.6350","0.59K","-0.55%"
"10/04/2019","24.7700","24.6150","24.7700","24.5650","0.89K","0.61%"
"10/03/2019","24.6200","24.6350","24.9450","24.6200","0.52K","-0.06%"
"10/02/2019","24.6350","24.8250","24.9400","24.6350","0.18K","0.00%"
"10/01/2019","24.6350","24.4750","24.6565","24.4250","0.29K","1.17%"
"09/30/2019","24.3500","24.1100","24.3500","24.1050","0.01K","0.99%"
"09/27/2019","24.1112","24.1013","24.1313","24.0512","0.28K","0.05%"
"09/26/2019","24.1000","24.1600","24.2300","24.0700","0.23K","0.04%"
"09/25/2019","24.0912","24.1157","24.2613","24.0458","0.25K","-0.95%"
"09/24/2019","24.3225","24.2370","24.3225","24.1825","0.20K","0.00%"
"09/23/2019","24.3225","24.4325","24.4325","24.2870","0.18K","-0.34%"
"09/20/2019","24.4050","24.5805","24.6305","24.4050","0.20K","-0.67%"
"09/19/2019","24.5688","24.6788","24.6788","24.5633","0.16K","-0.39%"
"09/18/2019","24.6650","24.7150","24.7650","24.6500","0.27K","-0.46%"
"09/17/2019","24.7800","24.7600","24.7850","24.7100","0.22K","0.02%"
"09/16/2019","24.7750","24.7150","25.1450","24.6950","0.25K","-0.07%"
"09/13/2019","24.7913","24.7198","24.8495","24.6663","0.17K","0.13%"
"09/12/2019","24.7600","24.9550","24.9550","24.7560","0.22K","-0.69%"
"09/11/2019","24.9325","24.9275","25.0275","24.9175","0.22K","-0.27%"
"09/10/2019","25.0000","24.8985","25.0550","24.8300","0.30K","0.21%"
"09/09/2019","24.9475","25.1890","25.1890","24.9175","0.30K","-0.51%"
"09/06/2019","25.0750","25.1550","25.1950","25.0225","0.23K","-0.29%"
"09/05/2019","25.1475","25.3125","25.4025","25.1475","0.23K","-0.48%"
"09/04/2019","25.2700","25.2610","25.3025","25.2410","0.29K","0.10%"
"09/03/2019","25.2455","25.3270","25.3620","25.2355","0.25K","0.54%"
"09/02/2019","25.1100","25.1300","25.3000","25.1100","0.21K","0.00%"
"08/30/2019","25.1100","25.2045","25.2200","25.1045","0.26K","-0.38%"
"08/29/2019","25.2048","25.2628","25.2903","25.2048","0.25K","-0.04%"
"08/28/2019","25.2150","25.1345","25.2450","25.1345","0.28K","0.25%"
"08/27/2019","25.1525","25.0925","25.2025","25.0925","0.25K","0.21%"
"08/26/2019","25.1000","25.1000","25.1000","25.1000","","0.00%"
"08/23/2019","25.1000","25.0100","25.1300","25.0100","0.19K","0.22%"
"08/22/2019","25.0450","25.1260","25.1280","25.0050","0.25K","-0.46%"
"08/21/2019","25.1600","25.2250","25.2800","25.1150","0.27K","0.02%"
"08/20/2019","25.1552","25.0968","25.1743","25.0968","0.23K","0.15%"
"08/19/2019","25.1175","25.1550","25.2300","25.1175","0.15K","-0.25%"
"08/16/2019","25.1800","25.3300","25.3300","25.1200","0.24K","-0.55%"
"08/15/2019","25.3200","25.2450","25.4100","25.1500","0.22K","0.04%"
"08/14/2019","25.3087","25.1987","25.3562","25.1462","0.29K","0.51%"
"08/13/2019","25.1800","25.1750","25.1800","25.1250","0.33K","-0.02%"
"08/12/2019","25.1850","25.0750","25.5650","25.0750","0.27K","-0.13%"
"08/09/2019","25.2188","25.1837","25.3687","25.0487","0.21K","0.37%"
"08/08/2019","25.1250","25.3450","25.3810","25.1250","0.21K","0.00%"
"08/07/2019","25.1250","25.4900","25.5800","25.1250","0.30K","-1.59%"
